date_updated,new_cases,new_deaths,new_tests,total_cases_updated,total_deaths_updated,total_tests_updated,StringencyIndex_updated,StringencyLegacyIndex_updated,GovernmentResponseIndex_updated,ContainmentHealthIndex_updated,EconomicSupportIndex_updated
2020-05-15,96102.0,5254.0,1618694.0,4380719.0,301429.0,49465735.0,74.85809815950914,80.58748466257671,69.270490797546,72.74619631901842,50.15337423312884
2020-05-16,96851.0,5038.0,1329601.0,4477570.0,306467.0,50833588.0,74.71607361963186,80.52177914110432,69.18398773006133,72.65797546012271,50.076687116564415
2020-05-17,92959.0,4226.0,1187613.0,4570529.0,310693.0,52556905.0,74.40085889570547,80.27055214723927,69.06785276073619,72.4929447852761,50.23006134969325
2020-05-18,79060.0,2889.0,1190727.0,4649589.0,313582.0,53715789.0,73.25079754601222,79.24055214723928,68.35006134969325,71.64447852760736,50.23006134969325
2020-05-19,85793.0,3286.0,1377870.0,4735382.0,316868.0,55069192.0,73.25079754601222,79.24055214723927,68.36576687116563,71.6630674846626,50.23006134969325
2020-05-20,94740.0,5193.0,1472658.0,4830122.0,322061.0,56518538.0,73.0292024539877,79.10325153374235,68.23588957055213,71.48177914110431,50.38343558282209
2020-05-21,102748.0,4698.0,1392430.0,4932870.0,326759.0,58203766.0,72.82478527607358,78.98644171779144,68.15319018404907,71.28656441717793,50.920245398773005
2020-05-22,107448.0,5382.0,1486468.0,5040318.0,332141.0,59874912.0,72.68263803680979,78.81122699386505,68.08638036809815,71.20742331288346,50.920245398773005
2020-05-23,105340.0,4639.0,1409374.0,5145658.0,336780.0,61306563.0,72.60889570552143,78.81558282208591,68.02343558282206,71.14705521472395,50.84355828220859
2020-05-24,99272.0,3909.0,1154476.0,5244930.0,340689.0,62840647.0,72.55214723926377,78.779018404908,67.98411042944782,71.10061349693254,50.84355828220859
2020-05-25,92695.0,1111.0,1208165.0,5337625.0,341800.0,64083076.0,72.00687116564413,78.27214723926382,67.63809815950916,70.69165644171781,50.84355828220859
2020-05-26,88095.0,3361.0,1456472.0,5425720.0,345161.0,65555104.0,71.79668711656437,78.06030674846627,67.53595092024538,70.55693251533744,50.920245398773005
2020-05-27,92768.0,3873.0,1590241.0,5518488.0,349034.0,67101722.0,71.56950920245394,77.8733128834356,67.44147239263802,70.44539877300613,50.920245398773005
2020-05-28,102263.0,5112.0,1597945.0,5620751.0,354146.0,68982409.0,71.47871165644167,77.82950920245402,67.36668711656439,70.37110429447854,50.84355828220859
2020-05-29,117940.0,4630.0,1654650.0,5738691.0,358776.0,70982313.0,71.20306748466254,77.57386503067488,67.2546625766871,70.18276073619634,51.15030674846626
2020-05-30,121378.0,4638.0,1569613.0,5860069.0,363414.0,72623576.0,70.87926380368094,77.39411042944788,67.07773006134967,69.97361963190184,51.15030674846626
2020-05-31,127503.0,4002.0,1330894.0,5987572.0,367416.0,74701254.0,70.34823170731703,76.97439024390246,66.79573170731706,69.55841463414635,51.60060975609756
2020-06-01,106419.0,2897.0,1332533.0,6093991.0,370313.0,75843029.0,68.57834355828219,75.41631901840493,65.74447852760738,68.23049079754604,52.07055214723926
2020-06-02,99168.0,3123.0,1537384.0,6193159.0,373436.0,77334698.0,67.86533742331285,74.77515337423317,65.3924539877301,67.81447852760738,52.07055214723926
2020-06-03,111408.0,4532.0,1774950.0,6304567.0,377968.0,79082835.0,67.73472392638034,74.56760736196323,65.30220858895707,67.7076073619632,52.07055214723926
2020-06-04,124523.0,5515.0,1837229.0,6429090.0,383483.0,81172690.0,67.63521472392637,74.52374233128839,65.27276073619633,67.64484662576687,52.2239263803681
2020-06-05,125832.0,5099.0,1823829.0,6554922.0,388582.0,82972378.0,67.24895705521472,74.12049079754605,64.98944785276075,67.33803680981596,52.07055214723926
2020-06-06,132294.0,4635.0,1641956.0,6687216.0,393217.0,84637599.0,66.78889570552147,73.74067484662582,64.67092024539879,66.96159509202454,52.07055214723926
2020-06-07,125399.0,3784.0,1363044.0,6812615.0,397001.0,86462304.0,66.53895705521471,73.58006134969331,64.49785276073621,66.75711656441717,52.07055214723926
2020-06-08,114781.0,3494.0,1660062.0,6927396.0,400495.0,88209751.0,65.57325153374231,72.75779141104299,63.805766871165645,65.93926380368097,52.07055214723926
2020-06-09,104564.0,3195.0,1693699.0,7031960.0,403690.0,89938716.0,65.32042944785273,72.49490797546018,63.64245398773006,65.7883435582822,51.84049079754601
2020-06-10,124396.0,4847.0,1867300.0,7156356.0,408537.0,91764490.0,65.06484662576686,72.2422085889571,63.544171779141095,65.6163190184049,52.147239263803684
2020-06-11,133489.0,5099.0,1771807.0,7289845.0,413636.0,93741190.0,64.84895705521473,72.00128834355833,63.496748466257664,65.47693251533741,52.607361963190186
2020-06-12,135445.0,4682.0,1769246.0,7425290.0,418318.0,95512355.0,64.58478527607362,71.69595092024545,63.31386503067485,65.26079754601226,52.607361963190186
2020-06-13,143525.0,4643.0,1728219.0,7568815.0,422961.0,97437427.0,64.65858895705522,71.7061349693252,63.36490797546012,65.32116564417177,52.607361963190186
2020-06-14,132669.0,4114.0,1466475.0,7701484.0,427075.0,99285753.0,64.6017791411043,71.61846625766877,63.31380368098161,65.27466257668712,52.530674846625764
2020-06-15,121184.0,3137.0,1621777.0,7822668.0,430212.0,100972046.0,63.70993865030675,70.68822085889575,62.77104294478524,64.59128834355825,52.760736196319016
2020-06-16,117473.0,3358.0,1827581.0,7940141.0,433570.0,102756976.0,63.40319018404907,70.47496932515342,62.59411042944783,64.34036809815946,52.99079754601227
2020-06-17,140006.0,6702.0,1907052.0,8080147.0,440272.0,104623445.0,63.26693251533742,70.40343558282213,62.49963190184047,64.22889570552142,52.99079754601227
2020-06-18,175602.0,5077.0,2049997.0,8255749.0,445349.0,106965592.0,63.201656441717795,70.37858895705527,62.454355828220834,64.17546012269935,52.99079754601227
2020-06-19,137612.0,6261.0,2196858.0,8393361.0,451610.0,109119607.0,62.90055214723927,70.07625766871169,62.2930061349693,63.956993865030626,53.144171779141104
