,country,PC 1,PC 2,PC 3,Class,logPercent_maxNC,logPercent_TC_3mnth
125,Senegal,0.4575648046769235,-0.9173605962945496,-1.2287857301611238,2,-2.9078870542575346,-2.9451037987616235
126,Serbia,1.2421036173140996,2.061909777812065,0.7855681302294134,1,-2.163485464964555,-1.5522239751625908
127,Seychelles,-3.2047809817049595,0.6971127018750249,0.5310066865245632,0,-1.1476321639398859,-1.9927302039541428
128,Sierra Leone,-3.445957688259216,-0.3631869912095688,-0.3798031332070802,0,-2.9673403241568717,-2.8084170902382044
129,Singapore,0.15497306817374634,0.1022478915460851,1.7188581450194158,2,-1.6130618035817914,-2.8177913224527256
130,Slovakia,0.3768062556631109,0.95291253553406,-1.324673916037841,2,-2.6472591341592993,-2.051422506996434
131,Slovenia,0.9515454043080122,3.4411601704022763,-0.945606952897294,1,-2.5469882725388935,-1.3474934079509442
132,Somalia,-4.138373587690527,0.02170326683620416,-1.5813948584125992,0,-3.2144401335108888,-3.29812188078519
133,South Africa,2.6529122906591613,-1.7685586097547452,0.4665355134677234,2,-1.6287309574165705,-2.573089064964737
134,South Korea,-2.299574059925127,0.7256763087323828,-0.8747843085290524,0,-2.751292513574414,-4.0470985651148075
135,Spain,2.9968355747910334,-0.29551719889942923,0.18579767032953332,2,-1.3824274564395935,-3.5362871373036304
136,Sri Lanka,1.7790337526808326,-0.3518983511437753,-1.387836569986008,2,-2.9224426221109723,-5.330682587422822
137,Sudan,-2.751920272217993,-1.7176542534284098,1.033427447567946,0,-2.925959014114866,-4.363208756796836
138,Suriname,-2.0370885218773043,-1.7288507701082247,2.3598082857892884,0,-1.6253524298607314,-2.7683672301148263
139,Swaziland,-2.3389894441886248,-1.978617744564348,0.9725516728274698,0,-1.8972020503931266,-2.8884281260856213
140,Sweden,-2.332467979412044,1.3323256205115996,-1.7490949987000364,0,-1.7743522971391101,-3.858161947368806
141,Switzerland,0.21737291085460586,7.703204815877193,2.8201369577860183,1,-1.7942331033665246,-0.9072962615837789
142,Tajikistan,-1.0175971024810435,1.2763095609851869,-0.7993364935169378,0,-2.3138600259326476,-1.3988581401362339
143,Tanzania,-2.9167373725120638,0.33679174143583623,-2.460463219943612,0,-3.535673897941583,-3.8317404740740137
144,Thailand,0.4666922764521592,0.3992769470760812,-2.441029289515242,2,-3.423899537249734,-4.325341345861604
145,Timor,-3.694210740962904,0.6803680878152949,-1.1138236234746524,0,-3.0408797833158117,-2.7776383485412306
146,Togo,-0.6031440674767209,-0.8024786844019461,-0.9771104834908272,0,-3.326899479061639,-3.274511409601951
